"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"MARUTI","EQ","26-Jun-2023","9,327.30","9,327.30","9,520.00","9,300.00","9,470.00","9,470.20","9,418.77","4,05,168","3,81,61,82,793.25","64,056","2,37,246","58.55"
"MARUTI","EQ","27-Jun-2023","9,470.20","9,490.00","9,500.00","9,395.05","9,440.00","9,461.00","9,445.46","3,39,375","3,20,55,52,606.60","55,284","2,33,511","68.81"
"MARUTI","EQ","28-Jun-2023","9,461.00","9,475.45","9,575.00","9,432.55","9,544.90","9,540.65","9,527.27","4,82,586","4,59,77,29,163.55","74,441","3,48,796","72.28"
"MARUTI","EQ","30-Jun-2023","9,540.65","9,569.00","9,853.50","9,541.00","9,779.00","9,789.05","9,750.92","8,45,006","8,23,95,86,283.05","90,932","4,42,936","52.42"
"MARUTI","EQ","03-Jul-2023","9,789.05","9,742.05","9,785.85","9,656.55","9,676.25","9,673.00","9,697.47","3,98,066","3,86,02,34,867.00","52,768","2,25,718","56.70"
"MARUTI","EQ","04-Jul-2023","9,673.00","9,700.00","9,716.50","9,620.05","9,649.00","9,647.40","9,651.35","2,47,673","2,39,03,79,578.15","35,742","1,44,948","58.52"
"MARUTI","EQ","05-Jul-2023","9,647.40","9,697.00","10,036.95","9,675.00","9,990.10","9,992.30","9,885.78","8,15,044","8,05,73,49,422.15","83,869","3,16,643","38.85"
"MARUTI","EQ","06-Jul-2023","9,992.30","9,999.95","10,016.30","9,815.20","9,865.00","9,859.40","9,886.72","6,52,120","6,44,73,26,770.30","75,764","3,25,813","49.96"
"MARUTI","EQ","07-Jul-2023","9,859.40","9,854.00","9,945.00","9,815.00","9,835.00","9,850.25","9,867.18","4,57,050","4,50,97,93,409.80","49,467","2,43,779","53.34"
"MARUTI","EQ","10-Jul-2023","9,850.25","9,854.00","9,933.35","9,719.75","9,764.70","9,736.30","9,815.04","2,72,008","2,66,97,70,018.90","45,115","1,38,392","50.88"
"MARUTI","EQ","11-Jul-2023","9,736.30","9,796.00","9,956.85","9,736.30","9,900.00","9,900.15","9,896.29","5,68,772","5,62,87,32,827.65","55,818","3,30,189","58.05"
"MARUTI","EQ","12-Jul-2023","9,900.15","9,895.00","9,950.00","9,805.00","9,833.00","9,835.80","9,861.81","5,52,967","5,45,32,54,194.25","67,024","3,40,105","61.51"
